event_id,date,keyword,naver_datalab_score,collected_at
TWICE_20210609_ALCOHOL_FREE,2021-05-31,트와이스 Alcohol-Free,8.07453,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-01,트와이스 Alcohol-Free,4.96894,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-03,트와이스 Alcohol-Free,8.69565,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-04,트와이스 Alcohol-Free,5.59006,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-05,트와이스 Alcohol-Free,4.34782,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-08,트와이스 Alcohol-Free,5.59006,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-09,트와이스 Alcohol-Free,100,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-10,트와이스 Alcohol-Free,39.13043,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-11,트와이스 Alcohol-Free,10.559,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-12,트와이스 Alcohol-Free,4.96894,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-13,트와이스 Alcohol-Free,3.7267,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-14,트와이스 Alcohol-Free,9.31677,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-15,트와이스 Alcohol-Free,6.21118,2026-05-29T03:25:31
TWICE_20210609_ALCOHOL_FREE,2021-06-16,트와이스 Alcohol-Free,3.7267,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-01,트와이스 The Feels,100,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-02,트와이스 The Feels,49.1575,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-03,트와이스 The Feels,34.94505,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-04,트와이스 The Feels,34.61538,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-05,트와이스 The Feels,25.4945,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-06,트와이스 The Feels,21.72161,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-07,트와이스 The Feels,23.47985,2026-05-29T03:25:31
TWICE_20211001_THE_FEELS,2021-10-08,트와이스 The Feels,20.25641,2026-05-29T03:25:31
