event_id,date,naver_news_count,naver_blog_count,naver_datalab_score,google_trends_score,youtube_views,youtube_comments,youtube_likes,instagram_followers,traffic_total_raw,traffic_total_normalized,data_quality
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-02-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33000000,1.0,0.0021321961620469083,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-02-28,0.0,9.0,0.0,0.0,0.0,0.0,0.0,16100000,9.0,0.019189765458422176,ok
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-02-28,1.0,6.0,0.0,0.0,0.0,0.0,0.0,33000000,7.0,0.014925373134328358,ok
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-01,0.0,3.0,0.0,100.0,0.0,0.0,0.0,33000000,103.0,0.21961620469083157,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16100000,1.0,0.0021321961620469083,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33000000,1.0,0.0021321961620469083,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-05,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33000000,2.0,0.0042643923240938165,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33000000,1.0,0.0021321961620469083,ok
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100000,0.0,0.0,missing_traffic
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000000,0.0,0.0,missing_traffic
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,2021-03-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16100000,1.0,0.0021321961620469083,ok
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33000000,2.0,0.0042643923240938165,ok
STRAY_KIDS_20210227_HYUNJIN_BULLYING_ALLEGATION_ACTIVITY_PAUSE_HY,2021-03-12,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33000000,3.0,0.006396588486140725,ok
BLACKPINK_20210312_ROSE_ON_THE_GROUND,2021-03-12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,57900000,100.0,0.21321961620469082,ok
